"UF";"Município";"Partido";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Cargo";"Situação da candidatura";"Detalhe situação candidatura";"Data eleição";"Situação de totalização";
"RN";"AFONSO BEZERRA";"CIDADANIA";"23444";"JOAQUIM ALEXANDRE AVELINO BEZERRA";"JOAQUIM AVELINO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22522";"JOSÉ ALVES BEZERRA FILHO";"ZÉ FILHO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22122";"JOSE EDINALDO BARBOZA";"DEDÉ DE CAPUETA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"MDB";"15555";"JOSÉ GILVAN BEZERRA AVELINO";"GILVAN AVELINO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22100";"JOSE IVONALDO DA SILVA";"PETISHOW";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PL";"22000";"JOSÉ MARTINS DA SILVA JUNIOR";"JÚNIOR DE PATROCINIO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"CIDADANIA";"23000";"JOSEMBERG PEREIRA DOS SANTOS";"JOSEMBERG SANTOS";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSDB";"45886";"LENA GABRIELA SILVA";"GABRIELA DE LENIRA";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"PSDB";"45111";"MANUEL ARGEMIRO CUNHA MATIAS";"MANUEL DO PASTEL";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
"RN";"AFONSO BEZERRA";"CIDADANIA";"23333";"MANUEL DOS PASSOS SANTOS";"MANUEL SOLDADO";"Vereador";"Cadastrado";"Aguardando julgamento";"15.11.2020";"Sem totalização"
